thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,4,up,0,1.6654513330140617,None,0,0,0,0,0.015191332990070805,,0.01002454198896885,0.015191332990070805,1.014156416989863,1.0224179579818156,3.1048673749901354,4,up,0,1.6654513330140617,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
1,0,1,1,up,0,1.312206333008362,None,1,0,1,0,3.182969082990894,,3.1050241669872776,3.182969082990894,4.096905374986818,4.1771414169925265,5.4118183749960735,1,up,0,1.312206333008362,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
2,0,2,0,up,1,1.1358038739999756,None,2,0,2,0,5.434139082994079,,5.412201707978966,5.434139082994079,6.406246917002136,6.428406999999424,7.545161249989178,0,up,1,1.1358038739999756,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
3,0,3,0,up,1,1.6643359580193646,None,3,0,3,0,7.554671749996487,,7.5455408330017235,7.554671749996487,8.539544750005007,8.545620541990502,10.208241541986354,0,up,1,1.6643359580193646,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
4,0,4,-4,up,0,0.93592745802016,None,4,0,4,0,10.216667250002502,,10.208869750000304,10.216667250002502,11.206057707982836,11.212126083002659,12.146280249988195,-4,up,0,0.93592745802016,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
5,0,5,0,down,0,0.9328938749968074,None,5,0,5,0,12.155484499991871,,12.14665279199835,12.155484499991871,13.146985582978232,13.146985582978232,14.091054166987306,0,down,0,0.9328938749968074,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
6,0,6,0,down,0,0.632369083003141,None,6,0,6,0,14.100808207993396,,14.091618332982762,14.100808207993396,15.089483374991687,15.095046792004723,15.724878207984148,0,down,0,0.632369083003141,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
7,0,7,-4,up,0,0.8130729990079999,None,7,0,7,0,15.73519654199481,,15.72581387500395,15.73519654199481,16.722709583002143,16.728977999999188,17.541435958002694,-4,up,0,0.8130729990079999,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
8,0,8,0,up,1,1.225332873989828,None,8,0,8,0,17.551265291986056,,17.542053457989823,17.551265291986056,18.539462499989895,18.544923832989298,19.774222707987064,0,up,1,1.225332873989828,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
9,0,9,0,up,1,1.0559936249919701,None,9,0,9,0,19.783754707983462,,19.774664458003826,19.783754707983462,20.77271049999399,20.777242957992712,21.842136291990755,0,up,1,1.0559936249919701,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
10,0,10,4,up,0,0.6926685830112547,None,10,0,10,0,21.851926041999832,,21.84314116698806,21.851926041999832,22.838906332995975,22.844511000002967,23.541432291996898,4,up,0,0.6926685830112547,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
11,0,11,0,up,1,1.1373129990242887,None,11,0,11,0,23.55127666698536,,23.54220070800511,23.55127666698536,24.539321207994362,24.54417354200268,25.67889304200071,0,up,1,1.1373129990242887,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
12,0,12,0,down,0,0.6778039159835316,None,12,0,12,0,25.68874820799101,,25.679262166988337,25.68874820799101,26.672736874985276,26.677293541986728,27.357829416985624,0,down,0,0.6778039159835316,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
13,0,13,1,down,1,0.5743572500068694,None,13,0,13,0,27.367593250004575,,27.35843345799367,27.367593250004575,28.35607779197744,28.361722832982196,28.941577999998117,1,down,1,0.5743572500068694,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
14,0,14,1,down,1,0.8238568740198389,None,14,0,14,0,28.95163362499443,,28.942497249983717,28.95163362499443,29.93953458298347,29.94556174997706,30.77507683300064,1,down,1,0.8238568740198389,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
15,0,15,0,up,1,0.9297851669834927,None,15,0,15,0,30.784957875002874,,30.775881416979246,30.784957875002874,31.772743624984287,31.77750954197836,32.70822249999037,0,up,1,0.9297851669834927,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
16,0,16,-3,up,0,0.9096922920143697,None,16,0,16,0,32.71839020799962,,32.70908166698064,32.71839020799962,33.705755207978655,33.711414958001114,34.624979166983394,-3,up,0,0.9096922920143697,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
17,0,17,0,up,1,0.7366994170006365,None,17,0,17,0,34.63498899998376,,34.625755457993364,34.63498899998376,35.62267116698786,35.628366707998794,36.36231979198055,0,up,1,0.7366994170006365,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
18,0,18,0,up,1,1.4499640410067514,None,18,0,18,0,36.37160062498879,,36.362704957980895,36.37160062498879,37.35626579198288,37.36235504198703,38.808049499988556,0,up,1,1.4499640410067514,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
19,0,19,0,up,1,1.4952538330107927,None,19,0,19,0,38.814577499986626,,38.80885170798865,38.814577499986626,39.80592479198822,39.811517333000666,41.30823079199763,0,up,1,1.4952538330107927,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
20,0,20,0,down,0,0.9011834999837447,None,20,0,20,0,41.31832229200518,,41.308990457997425,41.31832229200518,42.30606391699985,42.31236408298719,43.212123292003525,0,down,0,0.9011834999837447,None,328931,"001",2025-09-11_05h49.43.433,Discrimination Orientation task,,2025.2.0,None,2025-09-11 05h49.43.451105 +0530,
