stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.006359416998748202,,0.0034177499983343296,0.006359416998748202,0.5177333329993417,0.5177333329993417,0.5177333329993417,0.8126986249990296,4.623774457999389,left,-10.0,1,1,3.872104374997434,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
1,2,8.0,4.681040417002805,,4.623903625004459,4.681040417002805,5.179699457999959,5.1154472920025,5.1154472920025,5.412634625005012,7.380626750004012,right,8.0,1,1,2.263871208000637,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
2,2,6.0,7.392614042000787,,7.380897292001464,7.392614042000787,7.8807047919981414,7.8807047919981414,7.8807047919981414,8.175894542000606,8.977590542002872,right,6.0,1,1,1.0845192500055418,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
3,2,4.0,9.00048062499991,,8.977916208001261,9.00048062499991,9.496738250003546,9.476084667003306,9.476084667003306,9.762381874999846,10.21121670800494,right,4.0,1,1,0.7311454579976271,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
4,2,2.0,10.215603042001021,,10.211584958000458,10.215603042001021,10.713244124999619,10.709271375002572,10.709271375002572,10.996098750001693,11.777453916998638,left,-2.0,1,1,1.0590026659992873,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
5,1,0.0,11.785324625001522,,11.7778088749983,11.785324625001522,12.28001325000514,12.275992792005127,12.275992792005127,12.562439083005302,13.160771792005107,right,0.0,0,0,0.8782553749988438,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
6,1,1.0,13.168639208000968,,13.161305041998276,13.168639208000968,13.662684916998842,13.659552625002107,13.659552625002107,13.945942500002275,14.394278167004813,right,1.0,0,0,0.729713583998091,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
7,1,2.0,14.39855004200217,,14.394601792002504,14.39855004200217,14.89796975000354,14.892899375001434,14.892899375001434,15.179683207999915,15.480382792004093,left,-2.0,1,1,0.5841469580045668,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
8,1,2.0,15.492673291999381,,15.480643000002601,15.492673291999381,15.980036500004644,15.980036500004644,15.980036500004644,16.275929583003744,16.877785707998555,left,-2.0,1,1,0.8911407080013305,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
9,1,2.0,16.885423833002278,,16.878196167002898,16.885423833002278,17.38095704200532,17.376159457999165,17.376159457999165,17.662229417001072,17.911325083005067,right,2.0,1,1,0.523963833002199,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
10,1,1.0,17.91908250000415,,17.911703541998577,17.91908250000415,18.412995958002284,18.40920545800327,18.40920545800327,18.695959167002002,19.244317917000444,right,1.0,1,1,0.8318101250042673,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
