thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_Distractor,trial.started,fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.19769874476987448)],[np.float64(-0.41736401673640167)],[1],[0],[0],[1.8757077090003804],['Target'],0,0,0,0,0.020986000000448257,,5,0.011984083000243118,0.020986000000448257,0.020986000000448257,0.012001457999758713,1.8877643329997227,[np.float64(0.19769874476987448)],[np.float64(-0.41736401673640167)],[1],[0],[0],[1.8757077090003804],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
1,0,1,[np.float64(0.36401673640167365)],[np.float64(0.08472803347280335)],[1],[0],[0],[4.610634290999769],['Target'],1,0,1,0,1.9170980830003828,,10,1.9080345410002337,1.9170980830003828,1.9170980830003828,0.01845008400050574,6.518724833000306,[np.float64(0.36401673640167365)],[np.float64(0.08472803347280335)],[1],[0],[0],[4.610634290999769],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
2,0,2,[np.float64(-0.4382845188284519)],[np.float64(0.27719665271966526)],[1],[0],[0],[2.7872702499998923],['Target'],2,0,2,0,6.539706665999802,,5,6.531481458000599,6.539706665999802,6.539706665999802,0.01102691699998104,9.318830082999739,[np.float64(-0.4382845188284519)],[np.float64(0.27719665271966526)],[1],[0],[0],[2.7872702499998923],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
3,0,3,[np.float64(0.12552301255230125)],[np.float64(-0.32426778242677823)],[1],[0],[0],[3.6256441249997806],['Target'],3,0,3,0,9.352444707999894,,10,9.342202625000027,9.352444707999894,9.352444707999894,0.021617249999508203,12.967893791000279,[np.float64(0.12552301255230125)],[np.float64(-0.32426778242677823)],[1],[0],[0],[3.6256441249997806],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
4,0,4,[np.float64(0.04288702928870293)],[np.float64(-0.11820083682008369)],[1],[0],[0],[2.7295067499999277],['Target'],4,0,4,0,12.997606583000561,,10,12.988765500000227,12.997606583000561,12.997606583000561,0.01945320799950423,15.718333040999823,[np.float64(0.04288702928870293)],[np.float64(-0.11820083682008369)],[1],[0],[0],[2.7295067499999277],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
5,0,5,[np.float64(0.3912133891213389)],[np.float64(0.25732217573221755)],[1],[0],[0],[3.287079708999954],['Target'],5,0,5,0,15.739562124999793,,5,15.731015458000002,15.739562124999793,15.739562124999793,0.01161950000005163,19.018162000000302,[np.float64(0.3912133891213389)],[np.float64(0.25732217573221755)],[1],[0],[0],[3.287079708999954],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
6,0,6,[np.float64(0.0198744769874477)],[np.float64(-0.008368200836820083)],[1],[0],[0],[4.685546708000402],[None],6,0,6,0,19.041953124999964,,5,19.033239041000343,19.041953124999964,19.041953124999964,0.013349541000025056,23.718855875000372,[np.float64(0.0198744769874477)],[np.float64(-0.008368200836820083)],[1],[0],[0],[4.685546708000402],[None],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
7,0,7,[np.float64(-0.4571129707112971)],[np.float64(0.2792887029288703)],[1],[0],[0],[4.251518500000202],['Target'],7,0,7,0,23.742372165999768,,5,23.733689415999834,23.742372165999768,23.742372165999768,0.013021416999436042,27.985276082999917,[np.float64(-0.4571129707112971)],[np.float64(0.2792887029288703)],[1],[0],[0],[4.251518500000202],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
8,0,8,[np.float64(0.497907949790795)],[np.float64(-0.24267782426778242)],[1],[0],[0],[2.6515844590003326],['Target'],8,0,8,0,28.00833012500061,,5,27.999681708000026,28.00833012500061,28.00833012500061,0.01260645900038071,30.651338915999986,[np.float64(0.497907949790795)],[np.float64(-0.24267782426778242)],[1],[0],[0],[2.6515844590003326],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
9,0,9,[np.float64(-0.2217573221757322)],[np.float64(-0.1202928870292887)],[1],[0],[0],[2.8032844579993252],['Target'],9,0,9,0,30.67470483299985,,5,30.66591737500039,30.67470483299985,30.67470483299985,0.013056333999884373,33.469264125000336,[np.float64(-0.2217573221757322)],[np.float64(-0.1202928870292887)],[1],[0],[0],[2.8032844579993252],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
10,0,10,[np.float64(-0.4790794979079498)],[np.float64(-0.34414225941422594)],[1],[0],[0],[3.75181616700047],['Target'],10,0,10,0,33.49255345799975,,5,33.48359274999984,33.49255345799975,33.49255345799975,0.012867792000179179,37.235480583000026,[np.float64(-0.4790794979079498)],[np.float64(-0.34414225941422594)],[1],[0],[0],[3.75181616700047],['Target'],A_2,"001",2025-09-30_17h31.41.680,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,121.14200568727854,2025-09-30 17h31.41.728549 +0530,
