word,Colour,stimulus_condition,Correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,C,r,1,1,0,r,1,2.48801325,None,0,1,1,0,26.43494433,,,,,,,,,26.42904008,26.43494433,26.92562733,26.92562733,26.92562733,29.41749492,r,1,2.48801325,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
BLUE,blue,C,b,2,2,0,b,1,1.242183875,None,0,2,2,3,29.43763704,,,,,,,,,29.42265717,29.43763704,29.91546312,29.91546312,29.91546312,31.16210408,b,1,1.242183875,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
BLUE,blue,C,b,5,1,1,b,1,4.226473042,None,1,1,5,3,35.70775942,,,,,,,,,35.70137604,35.70775942,36.19876267,36.19876267,36.19876267,40.42808475,b,1,4.226473042,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
RED,red,C,r,7,3,1,r,1,0.768615333,None,1,3,7,0,42.56697742,,,,,,,,,42.56138875,42.56697742,43.05869758,43.05869758,43.05869758,43.82873317,r,1,0.768615333,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
RED,red,C,r,8,0,2,r,1,2.465811041,None,2,0,8,0,43.8325585,,,,,,,,,43.82919013,43.8325585,44.32543442,44.32543442,44.32543442,46.79559579,r,1,2.465811041,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
BLUE,blue,C,b,10,2,2,b,1,1.120843958,None,2,2,10,3,48.87545004,,,,,,,,,48.86803267,48.87545004,49.36541242,49.36541242,49.36541242,50.49554067,b,1,1.120843958,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
RED,red,C,r,14,2,3,r,1,1.426678875,None,3,2,14,0,56.00126342,,,,,,,,,55.99561679,56.00126342,56.49235546,56.49235546,56.49235546,57.92900046,r,1,1.426678875,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
BLUE,blue,C,b,15,3,3,b,1,0.516477708,None,3,3,15,3,57.93800838,,,,,,,,,57.93174837,57.93800838,58.42553604,58.42553604,58.42553604,58.945228,b,1,0.516477708,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
RED,red,C,r,16,0,4,r,1,0.536614833,None,4,0,16,0,58.95287879,,,,,,,,,58.94741292,58.95287879,59.44237033,59.44237033,59.44237033,59.98394146,r,1,0.536614833,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
BLUE,blue,C,b,18,2,4,b,1,1.447859791,None,4,2,18,3,61.72546633,,,,,,,,,61.70377029,61.72546633,62.19907308,62.19907308,62.19907308,63.65024379,b,1,1.447859791,None,,,,,Ayushi,1,2025-08-25_13h52.05.148,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 13h52.05.239630 +0530
