word,Colour,stimulus_condition,Correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,blue,C,b,0,0,0,b,1,7.662711416,None,0,0,0,3,8.446860208,,0.003749791,0.010244625,0.010244625,8.421436916,space,8.253328875,None,8.429581916,8.446860208,8.913784,8.913784,8.913784,13.40852488,16.59019375,b,1,7.662711416,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
RED,red,C,r,2,2,0,r,1,1.067549708,None,0,2,2,0,18.69011088,,,,,,,,,18.67970975,18.69011088,19.17836242,19.17836242,19.17836242,,20.25630046,r,1,1.067549708,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
BLUE,blue,C,b,6,2,1,b,1,0.056066541,None,1,2,6,3,22.950225,,,,,,,,,22.94111725,22.950225,23.4378965,23.4378965,23.4378965,,23.50483358,b,1,0.056066541,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
RED,red,C,r,7,3,1,b,0,0.054735667,None,1,3,7,0,23.51817321,,,,,,,,,23.50917221,23.51817321,23.99622863,23.99622863,23.99622863,,24.05676058,b,0,0.054735667,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
BLUE,blue,C,b,10,2,2,b,1,1.123771583,None,2,2,10,3,26.31964771,,,,,,,,,26.31058171,26.31964771,26.80393013,26.80393013,26.80393013,,27.94015613,b,1,1.123771583,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
RED,red,C,r,11,3,2,r,1,0.666899167,None,2,3,11,0,27.95648725,,,,,,,,,27.94541788,27.95648725,28.43686917,28.43686917,28.43686917,,29.10599625,r,1,0.666899167,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
RED,red,C,r,13,1,3,r,1,0.818736041,None,3,1,13,0,30.35600117,,,,,,,,,30.34548796,30.35600117,30.83689938,30.83689938,30.83689938,,31.66202721,r,1,0.818736041,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
BLUE,blue,C,b,14,2,3,b,1,0.490707458,None,3,2,14,3,31.67651508,,,,,,,,,31.66709163,31.67651508,32.16201546,32.16201546,32.16201546,,32.656685,b,1,0.490707458,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
RED,red,C,r,16,0,4,r,1,0.955713333,None,4,0,16,0,33.78415046,,,,,,,,,33.77336467,33.78415046,34.2709535,34.2709535,34.2709535,,35.22825817,r,1,0.955713333,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
BLUE,blue,C,b,18,2,4,b,1,0.456622749,None,4,2,18,3,37.35457325,,,,,,,,,37.34423908,37.35457325,37.83783929,37.83783929,37.83783929,,38.30672325,b,1,0.456622749,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
RED,blue,I,b,1,1,0,r,0,1.585830875,None,0,1,1,1,16.60963588,,,,,,,,,16.59946404,16.60963588,17.09115825,17.09115825,17.09115825,,18.678654,r,0,1.585830875,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
BLUE,red,I,r,3,3,0,b,0,0.697235499,None,0,3,3,2,20.28211804,,,,,,,,,20.26125575,20.28211804,20.75431908,20.75431908,20.75431908,,21.45662625,b,0,0.697235499,None,,,,,Bhavya,1,2025-08-25_14h14.21.993,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h14.22.059811 +0530
