thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_Distractor,trial.started,fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.29916317991631797)],[np.float64(0.16317991631799164)],[1],[0],[0],[13.587159167000209],['Target'],0,0,0,0,0.050696042000708985,,10,0.021435624999867287,0.050696042000708985,0.050696042000708985,0.021447208000608953,13.60867912499998,[np.float64(0.29916317991631797)],[np.float64(0.16317991631799164)],[1],[0],[0],[13.587159167000209],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
1,0,1,[np.float64(-0.3158995815899582)],[np.float64(-0.07322175732217573)],[1],[0],[0],[7.5348522500007675],['Target'],1,0,1,0,13.629552750000585,,5,13.62112425000123,13.629552750000585,13.629552750000585,0.010795292000693735,21.156053583999892,[np.float64(-0.3158995815899582)],[np.float64(-0.07322175732217573)],[1],[0],[0],[7.5348522500007675],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
2,0,2,[np.float64(0.012552301255230125)],[np.float64(0.05439330543933055)],[1],[0],[0],[5.291169583999363],['Target'],2,0,2,0,21.188615791999837,,10,21.17876329200044,21.188615791999837,21.188615791999837,0.021699957998862374,26.46998516700114,[np.float64(0.012552301255230125)],[np.float64(0.05439330543933055)],[1],[0],[0],[5.291169583999363],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
3,0,3,[np.float64(-0.33472803347280333)],[np.float64(0.4372384937238494)],[1],[0],[0],[3.2282081250014016],['Target'],3,0,3,0,26.501049542001056,,10,26.491649375000634,26.501049542001056,26.501049542001056,0.02036341699931654,29.719908125000075,[np.float64(-0.33472803347280333)],[np.float64(0.4372384937238494)],[1],[0],[0],[3.2282081250014016],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
4,0,4,[np.float64(-0.303347280334728)],[np.float64(0.12552301255230125)],[1],[0],[0],[1.8955842499999562],['Target'],4,0,4,0,29.749896000001172,,10,29.74094150000019,29.749896000001172,29.749896000001172,0.019608332999268896,31.636575667000216,[np.float64(-0.303347280334728)],[np.float64(0.12552301255230125)],[1],[0],[0],[1.8955842499999562],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
5,0,5,[np.float64(-0.2918410041841004)],[np.float64(-0.28556485355648537)],[1],[0],[0],[1.7885362500001065],['Target'],5,0,5,0,31.65747795900097,,5,31.649228917000073,31.65747795900097,31.65747795900097,0.011554208000234212,33.437834125001245,[np.float64(-0.2918410041841004)],[np.float64(-0.28556485355648537)],[1],[0],[0],[1.7885362500001065],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
6,0,6,[np.float64(-0.4665271966527197)],[np.float64(0.0198744769874477)],[1],[0],[0],[1.3194363330003398],['Target'],6,0,6,0,33.46044012499988,,5,33.451788166999904,33.46044012499988,33.46044012499988,0.012635875000341912,34.77129062499989,[np.float64(-0.4665271966527197)],[np.float64(0.0198744769874477)],[1],[0],[0],[1.3194363330003398],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
7,0,7,[np.float64(-0.1997907949790795)],[np.float64(0.37343096234309625)],[1],[0],[0],[3.392389833999914],['Target'],7,0,7,0,34.80432975000076,,10,34.794500250000056,34.80432975000076,34.80432975000076,0.02221204099987517,38.18693545899987,[np.float64(-0.1997907949790795)],[np.float64(0.37343096234309625)],[1],[0],[0],[3.392389833999914],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
8,0,8,[np.float64(0.13598326359832635)],[np.float64(-0.40585774058577406)],[1],[0],[0],[1.7559007920008298],['Target'],8,0,8,0,38.20641933400111,,5,38.19853541700104,38.20641933400111,38.20641933400111,0.01045854100084398,39.95451800000046,[np.float64(0.13598326359832635)],[np.float64(-0.40585774058577406)],[1],[0],[0],[1.7559007920008298],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
9,0,9,[np.float64(0.3776150627615063)],[np.float64(0.4236401673640167)],[1],[0],[0],[1.9531170840000414],['Target'],9,0,9,0,39.97592058400005,,5,39.96747450000112,39.97592058400005,39.97592058400005,0.011644500000329572,41.92068179200032,[np.float64(0.3776150627615063)],[np.float64(0.4236401673640167)],[1],[0],[0],[1.9531170840000414],['Target'],K_4,"001",2025-09-30_18h27.37.896,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,120.16245916384389,2025-09-30 18h27.37.952523 +0530,
