word,Colour,stimulus_condition,Correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
BLUE,red,I,r,0,0,0,b,0,1.711380333,None,0,0,0,2,13.231215,,0.006380375,0.011948708,0.011948708,13.21486688,space,13.04937225,None,13.22181983,13.231215,13.71344521,13.71344521,13.71344521,15.43237496,b,0,1.711380333,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
BLUE,blue,C,b,1,1,0,b,1,4.162987458,None,0,1,1,3,15.44476267,,,,,,,,,15.43409029,15.44476267,15.92988204,15.92988204,15.92988204,20.09822204,b,1,4.162987458,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
RED,blue,I,b,2,2,0,r,0,1.119063499,None,0,2,2,1,20.12249721,,,,,,,,,20.10702742,20.12249721,20.596258,20.596258,20.596258,21.72064833,r,0,1.119063499,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
RED,red,C,r,3,3,0,r,1,1.522593375,None,0,3,3,0,21.73184508,,,,,,,,,21.72147388,21.73184508,22.22078875,22.22078875,22.22078875,23.74876383,r,1,1.522593375,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
RED,blue,I,b,4,0,1,b,1,1.225122042,None,1,0,4,1,23.75977533,,,,,,,,,23.75019258,23.75977533,24.24615633,24.24615633,24.24615633,25.48224571,b,1,1.225122042,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
RED,red,C,r,5,1,1,r,1,0.821085542,None,1,1,5,0,25.49335821,,,,,,,,,25.48382442,25.49335821,25.98026708,25.98026708,25.98026708,26.80445775,r,1,0.821085542,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
BLUE,blue,C,b,6,2,1,b,1,0.687648458,None,1,2,6,3,26.818012,,,,,,,,,26.80937175,26.818012,27.30459142,27.30459142,27.30459142,27.99894821,b,1,0.687648458,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
BLUE,red,I,r,7,3,1,r,1,1.471876,None,1,3,7,2,28.01024421,,,,,,,,,28.0006815,28.01024421,28.49643163,28.49643163,28.49643163,29.97094508,r,1,1.471876,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
RED,blue,I,b,8,0,2,b,1,1.594505708,None,2,0,8,1,29.98442863,,,,,,,,,29.97639883,29.98442863,30.47166396,30.47166396,30.47166396,32.07060087,b,1,1.594505708,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
BLUE,red,I,r,9,1,2,r,1,2.026460208,None,2,1,9,2,32.08343567,,,,,,,,,32.07469463,32.08343567,32.57160612,32.57160612,32.57160612,34.60386987,r,1,2.026460208,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
BLUE,blue,C,b,10,2,2,b,1,1.3188285,None,2,2,10,3,34.62989221,,,,,,,,,34.60468604,34.62989221,35.10429217,35.10429217,35.10429217,36.43153708,b,1,1.3188285,None,,,,,Khushi,1,2025-08-25_14h18.45.685,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h18.45.752882 +0530
