thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_Distractor,trial.started,fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4361924686192469)],[np.float64(-0.2395397489539749)],[1],[0],[0],[3.051317000000381],['Target'],0,0,0,0,0.028793374999622756,,10,0.018475666999620444,0.028793374999622756,0.028793374999622756,0.01848524999968504,3.069857167000009,[np.float64(-0.4361924686192469)],[np.float64(-0.2395397489539749)],[1],[0],[0],[3.051317000000381],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
1,0,1,[np.float64(-0.4560669456066946)],[np.float64(-0.3912133891213389)],[1],[0],[0],[2.1458155420004914],['Target'],1,0,1,0,3.089311374999852,,5,3.0818698749999385,3.089311374999852,3.089311374999852,0.01026449999972101,5.227775333999489,[np.float64(-0.4560669456066946)],[np.float64(-0.3912133891213389)],[1],[0],[0],[2.1458155420004914],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
2,0,2,[np.float64(0.4372384937238494)],[np.float64(0.3148535564853556)],[1],[0],[0],[2.2073182089998227],['Target'],2,0,2,0,5.25146762499935,,5,5.242740874999981,5.25146762499935,5.25146762499935,0.013596709000012197,7.450122208999346,[np.float64(0.4372384937238494)],[np.float64(0.3148535564853556)],[1],[0],[0],[2.2073182089998227],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
3,0,3,[np.float64(0.1108786610878661)],[np.float64(-0.14225941422594143)],[1],[0],[0],[2.8196625419996053],['Target'],3,0,3,0,7.472313749999557,,5,7.464036499999565,7.472313749999557,7.472313749999557,0.0125853340005051,10.283779041999878,[np.float64(0.1108786610878661)],[np.float64(-0.14225941422594143)],[1],[0],[0],[2.8196625419996053],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
4,0,4,[np.float64(0.35564853556485354)],[np.float64(-0.09728033472803348)],[1],[0],[0],[1.6935555420004675],['Target'],4,0,4,0,10.31711445899964,,10,10.307028708999496,10.31711445899964,10.31711445899964,0.02158279200011748,12.000644749999992,[np.float64(0.35564853556485354)],[np.float64(-0.09728033472803348)],[1],[0],[0],[1.6935555420004675],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
5,0,5,[np.float64(0.4497907949790795)],[np.float64(0.36401673640167365)],[1],[0],[0],[1.7869543329998123],['Target'],5,0,5,0,12.022415792000174,,5,12.014122458999736,12.022415792000174,12.022415792000174,0.01233074999981909,13.80115187499996,[np.float64(0.4497907949790795)],[np.float64(0.36401673640167365)],[1],[0],[0],[1.7869543329998123],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
6,0,6,[np.float64(0.17364016736401675)],[np.float64(0.4006276150627615)],[1],[0],[0],[4.492636582999694],['Target'],6,0,6,0,13.834307583999362,,10,13.824581500000022,13.834307583999362,13.834307583999362,0.02168808300029923,18.31727570899966,[np.float64(0.17364016736401675)],[np.float64(0.4006276150627615)],[1],[0],[0],[4.492636582999694],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
7,0,7,[np.float64(0.24581589958158995)],[np.float64(-0.34518828451882844)],[1],[0],[0],[3.4272438329999204],['Target'],7,0,7,0,18.34906358399985,,10,18.339705041999878,18.34906358399985,18.34906358399985,0.021130541000275116,21.76699820900012,[np.float64(0.24581589958158995)],[np.float64(-0.34518828451882844)],[1],[0],[0],[3.4272438329999204],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
8,0,8,[np.float64(0.40481171548117156)],[np.float64(0.350418410041841)],[1],[0],[0],[1.8211221249994196],['Target'],8,0,8,0,21.78791362499942,,5,21.77974304199961,21.78791362499942,21.78791362499942,0.011576125000829052,23.600933416999396,[np.float64(0.40481171548117156)],[np.float64(0.350418410041841)],[1],[0],[0],[1.8211221249994196],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
9,0,9,[np.float64(-0.07426778242677824)],[np.float64(-0.4027196652719665)],[1],[0],[0],[3.176404625000032],['Target'],9,0,9,0,23.634581291999893,,10,23.623969583999497,23.634581291999893,23.634581291999893,0.021349915999962832,26.800421958999323,[np.float64(-0.07426778242677824)],[np.float64(-0.4027196652719665)],[1],[0],[0],[3.176404625000032],['Target'],N_3,"001",2025-09-30_17h47.08.198,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,122.0997493899408,2025-09-30 17h47.08.250312 +0530,
