word,Colour,stimulus_condition,Correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_2.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,C,r,2,2,0,r,1,1.44424775,None,0,2,2,0,45.94739546,,,,,,,,,42.87759587,42.88456779,43.36042696,43.36042696,43.36042696,45.93899562,r,1,2.570282958,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
BLUE,blue,C,b,3,3,0,b,1,0.686368708,None,0,3,3,3,47.89235408,,,,,,,,,45.94079442,45.94739546,46.42640675,46.42640675,46.42640675,47.87238925,r,1,1.44424775,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
BLUE,blue,C,b,4,0,1,b,1,0.9225625,None,1,0,4,3,49.06320371,,,,,,,,,47.87448592,47.89235408,48.35936558,48.35936558,48.35936558,49.05596808,b,1,0.686368708,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
RED,red,C,r,5,1,1,r,1,0.863531583,None,1,1,5,0,50.48139404,,,,,,,,,49.05644046,49.06320371,49.54312171,49.54312171,49.54312171,50.47218208,b,1,0.9225625,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
BLUE,blue,C,b,8,0,2,b,1,1.071730499,None,2,0,8,3,55.30988617,,,,,,,,,53.51098729,53.52010175,54.00460033,54.00460033,54.00460033,55.30581504,r,1,1.299969124,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
RED,red,C,r,10,2,2,r,1,1.445947708,None,2,2,10,0,59.29709412,,,,,,,,,56.88801979,56.89413212,57.37563804,57.37563804,57.37563804,59.28843275,b,0,1.900877499,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
RED,red,C,r,12,0,3,r,1,1.754657666,None,3,0,12,0,62.96020525,,,,,,,,,61.22607037,61.23668821,61.72174504,61.72174504,61.72174504,62.95586517,b,1,1.231622958,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
BLUE,blue,C,b,14,2,3,b,1,0.621422,None,3,2,14,3,66.32693679,,,,,,,,,65.22368008,65.23020575,65.70905571,65.70905571,65.70905571,66.32256412,r,1,0.611182208,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
BLUE,blue,C,b,18,2,4,b,1,1.133797916,None,4,2,18,3,71.492958,,,,,,,,,69.96104612,69.97081942,70.45508237,70.45508237,70.45508237,71.48909667,r,1,1.032054041,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
RED,red,C,r,19,3,4,r,1,1.132299292,None,4,3,19,0,73.13662392,,,,,,,,,71.48949842,71.492958,71.98833687,71.98833687,71.98833687,73.12565946,b,1,1.133797916,None,,,,,Nitya,1,2025-08-25_14h03.25.587,0.1 experiment stroop ready,,2025.2.0,None,2025-08-25 14h03.25.660099 +0530
