study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_routine.started,textText.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Case,0,0,0,3.0052083333333335,2.5190555000153836,,,,,,,,,,,,0,0,0,13,,,,,0.05909258298925124,,0.04612029099371284,0.05909258298925124,0.05909258298925124,2.5748502499773167,3.0052083333333335,2.5190555000153836,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
mouse,1,1,0,3.0052083333333335,0.838667208008701,,,,,,,,,,,,0,1,1,11,,,,,2.584045583003899,,2.57816933299182,2.584045583003899,2.584045583003899,3.4250189579906873,3.0052083333333335,0.838667208008701,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
board,2,2,0,3.0052083333333335,0.5879174580040853,,,,,,,,,,,,0,2,2,7,,,,,3.433524457999738,,3.4283956659783144,3.433524457999738,3.433524457999738,4.024904124991735,3.0052083333333335,0.5879174580040853,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
book,3,3,0,3.0052083333333335,0.3055132500012405,,,,,,,,,,,,0,3,3,2,,,,,4.032447957986733,,4.027207874984015,4.032447957986733,4.032447957986733,4.341741832991829,3.0052083333333335,0.3055132500012405,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Police,4,4,0,3.0052083333333335,0.6025258329755161,,,,,,,,,,,,0,4,4,17,,,,,4.351769999979297,,4.346492874989053,4.351769999979297,4.351769999979297,4.958337957999902,3.0052083333333335,0.6025258329755161,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
tiger,5,5,0,3.0052083333333335,0.4879214169923216,,,,,,,,,,,,0,5,5,1,,,,,4.966281332977815,,4.961250624997774,4.966281332977815,4.966281332977815,5.458269458002178,3.0052083333333335,0.4879214169923216,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Pastry,6,6,0,3.0052083333333335,2.2879181249882095,,,,,,,,,,,,0,6,6,12,,,,,5.466249165998306,,5.460943582991604,5.466249165998306,5.466249165998306,7.758110208000289,3.0052083333333335,2.2879181249882095,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
T-shirt,7,7,0,3.0052083333333335,0.13639216698356904,,,,,,,,,,,,0,7,7,10,,,,,7.766481333004776,,7.761607041000389,7.766481333004776,7.766481333004776,7.908210291003343,3.0052083333333335,0.13639216698356904,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
cushion,8,8,0,3.0052083333333335,0.8386673750064801,,,,,,,,,,,,0,8,8,3,,,,,7.915778124995995,,7.910584333003499,7.915778124995995,7.915778124995995,8.75847116598743,3.0052083333333335,0.8386673750064801,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Cruise,9,9,0,3.0052083333333335,0.4727070829831064,,,,,,,,,,,,0,9,9,14,,,,,8.765485915995669,,8.76029124998604,8.765485915995669,8.765485915995669,9.241479582997272,3.0052083333333335,0.4727070829831064,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Laptop,10,10,0,3.0052083333333335,1.4218494590022601,,,,,,,,,,,,0,10,10,8,,,,,9.24955537499045,,9.244539415987674,9.24955537499045,9.24955537499045,10.674999790993752,3.0052083333333335,1.4218494590022601,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
marble,11,11,0,3.0052083333333335,0.7212154169974383,,,,,,,,,,,,0,11,11,6,,,,,10.682992207992356,,10.67721366600017,10.682992207992356,10.682992207992356,11.408190082991496,3.0052083333333335,0.7212154169974383,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
piano,12,12,0,3.0052083333333335,0.2555992499983404,,,,,,,,,,,,0,12,12,4,,,,,11.415995666000526,,11.409998749993974,11.415995666000526,11.415995666000526,11.674859749997267,3.0052083333333335,0.2555992499983404,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
vase,13,13,0,3.0052083333333335,0.20541220798622817,,,,,,,,,,,,0,13,13,0,,,,,11.682291915989481,,11.677275833004387,11.682291915989481,11.682291915989481,11.891806040977826,3.0052083333333335,0.20541220798622817,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Poster,14,14,0,3.0052083333333335,0.7561127079825383,,,,,,,,,,,,0,14,14,16,,,,,11.899452124984236,,11.893612457992276,11.899452124984236,11.899452124984236,12.658109457988758,3.0052083333333335,0.7561127079825383,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Chart,15,15,0,3.0052083333333335,1.6566297500103246,,,,,,,,,,,,0,15,15,9,,,,,12.666145415976644,,12.65985804097727,12.666145415976644,12.666145415976644,14.324787707999349,3.0052083333333335,1.6566297500103246,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
Keys,16,16,0,3.0052083333333335,0.5223239999904763,,,,,,,,,,,,0,16,16,15,,,,,14.33254466598737,,14.327368500002194,14.33254466598737,14.33254466598737,14.85850654100068,3.0052083333333335,0.5223239999904763,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
camera,17,17,0,3.0052083333333335,0.6060614170273766,,,,,,,,,,,,0,17,17,5,,,,,14.865614249982173,,14.860356582998065,14.865614249982173,14.865614249982173,15.474966915993718,3.0052083333333335,0.6060614170273766,,,,,,,,,,,,,,,S_1,"001",2025-10-13_16h47.42.525,Word Priming Task,,2025.2.0,None,2025-10-13 16h47.42.638443 +0530,
