study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_routine.started,textText.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,textText.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,0,0,0,1,7.865556374999869,,,,,,,,,,,,0,0,0,11,,,,,0.10046991699346108,,0.04851174999930663,0.10046991699346108,0.10046991699346108,7.920150291996833,1,7.865556374999869,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
Keys,1,1,0,1,2.4968725420039846,,,,,,,,,,,,0,1,1,15,,,,,7.9456981669936795,,7.923743207997177,7.9456981669936795,7.9456981669936795,10.428662541999074,1,2.4968725420039846,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
T-shirt,2,2,0,1,2.4696740829967894,,,,,,,,,,,,0,2,2,10,,,,,10.43837933299801,,10.433476874997723,10.43837933299801,10.43837933299801,12.912094374994922,1,2.4696740829967894,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
marble,3,3,0,1,2.0888344580016565,,,,,,,,,,,,0,3,3,6,,,,,12.920001541999227,,12.915125916995748,12.920001541999227,12.920001541999227,15.011915707997105,1,2.0888344580016565,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
Chart,4,4,0,1,1.7909414160021697,,,,,,,,,,,,0,4,4,9,,,,,15.020559582997521,,15.014310541999293,15.020559582997521,15.020559582997521,16.812042207995546,1,1.7909414160021697,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
tiger,5,5,0,1,1.054955665997113,,,,,,,,,,,,0,5,5,1,,,,,16.820061749996967,,16.814662832999602,16.820061749996967,16.820061749996967,17.878747416994884,1,1.054955665997113,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
Pastry,6,6,0,1,2.6405267079971964,,,,,,,,,,,,0,6,6,12,,,,,17.886047957996198,,17.88117683299788,17.886047957996198,17.886047957996198,20.528706707998936,1,2.6405267079971964,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
Police,7,7,0,1,1.306043917000352,,,,,,,,,,,,0,7,7,17,,,,,20.537204832995485,,20.531461207996472,20.537204832995485,20.537204832995485,21.84535504199448,1,1.306043917000352,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
camera,8,8,0,1,1.1747279170012916,,,,,,,,,,,,0,8,8,5,,,,,21.853418624996266,,21.847209249994194,21.853418624996266,21.853418624996266,23.028715332999127,1,1.1747279170012916,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
Poster,9,9,0,1,1.4736783340049442,,,,,,,,,,,,0,9,9,16,,,,,23.035760416998528,,23.030552124997484,23.035760416998528,23.035760416998528,24.512050499994075,1,1.4736783340049442,,,,,,,,,,,,,,,,,,,V_1,"001",2025-10-14_19h03.10.328,Word Priming Task,,2025.2.0,120.27784230008346,2025-10-14 19h03.10.448107 +0530,
