thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_Distractor,trial.started,fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.11401673640167365)],[np.float64(0.46443514644351463)],[1],[0],[0],[3.0884780420001334],['Target'],0,0,0,0,0.033095833000515995,,10,0.021091958000397426,0.033095833000515995,0.033095833000515995,0.021105167000314395,3.1096271250007703,[np.float64(-0.11401673640167365)],[np.float64(0.46443514644351463)],[1],[0],[0],[3.0884780420001334],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
1,0,1,[np.float64(-0.4246861924686193)],[np.float64(-0.26464435146443516)],[1],[0],[0],[1.6537879580000663],['Target'],1,0,1,0,3.1264454170004683,,5,3.120265625000684,3.1264454170004683,3.1264454170004683,0.00883745800001634,4.774114542000461,[np.float64(-0.4246861924686193)],[np.float64(-0.26464435146443516)],[1],[0],[0],[1.6537879580000663],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
2,0,2,[np.float64(0.4246861924686193)],[np.float64(0.1087866108786611)],[1],[0],[0],[1.7626366250005958],['Target'],2,0,2,0,4.803864917000283,,10,4.79467329199997,4.803864917000283,4.803864917000283,0.019305957999677048,6.557340333000866,[np.float64(0.4246861924686193)],[np.float64(0.1087866108786611)],[1],[0],[0],[1.7626366250005958],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
3,0,3,[np.float64(-0.42782426778242677)],[np.float64(0.3493723849372385)],[1],[0],[0],[1.4748421250005777],['Target'],3,0,3,0,6.572590250000758,,5,6.566370000000461,6.572590250000758,6.572590250000758,0.00817800000004354,8.041270000000623,[np.float64(-0.42782426778242677)],[np.float64(0.3493723849372385)],[1],[0],[0],[1.4748421250005777],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
4,0,4,[np.float64(0.25732217573221755)],[np.float64(0.3023012552301255)],[1],[0],[0],[1.496718792000138],['Target'],4,0,4,0,8.068329292000271,,10,8.059188667000853,8.068329292000271,8.068329292000271,0.01653995800006669,9.555954625000595,[np.float64(0.25732217573221755)],[np.float64(0.3023012552301255)],[1],[0],[0],[1.496718792000138],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
5,0,5,[np.float64(0.4895397489539749)],[np.float64(0.11715481171548117)],[1],[0],[0],[1.341332875000262],['Target'],5,0,5,0,9.573643458000333,,5,9.566543917000672,9.573643458000333,9.573643458000333,0.009664832999987993,10.907934542000476,[np.float64(0.4895397489539749)],[np.float64(0.11715481171548117)],[1],[0],[0],[1.341332875000262],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
6,0,6,[np.float64(-0.4309623430962343)],[np.float64(-0.33472803347280333)],[1],[0],[0],[1.802852583999993],['Target'],6,0,6,0,10.928059958000631,,5,10.920452542000021,10.928059958000631,10.928059958000631,0.01097879099961574,12.72337462500036,[np.float64(-0.4309623430962343)],[np.float64(-0.33472803347280333)],[1],[0],[0],[1.802852583999993],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
7,0,7,[np.float64(-0.303347280334728)],[np.float64(0.15585774058577406)],[1],[0],[0],[1.7430366250000588],['Target'],7,0,7,0,12.758024917000512,,10,12.747348333000446,12.758024917000512,12.758024917000512,0.022332916999403096,14.49041358300019,[np.float64(-0.303347280334728)],[np.float64(0.15585774058577406)],[1],[0],[0],[1.7430366250000588],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
8,0,8,[np.float64(-0.038702928870292884)],[np.float64(0.3692468619246862)],[1],[0],[0],[1.7012201669995193],['Target'],8,0,8,0,14.513792917000501,,10,14.505964417000541,14.513792917000501,14.513792917000501,0.014567875000466302,16.207231167000828,[np.float64(-0.038702928870292884)],[np.float64(0.3692468619246862)],[1],[0],[0],[1.7012201669995193],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
9,0,9,[np.float64(0.16527196652719664)],[np.float64(-0.4246861924686193)],[1],[0],[0],[1.9392521669997222],['Target'],9,0,9,0,16.224454125000193,,5,16.217796542000542,16.224454125000193,16.224454125000193,0.009216916000696074,18.157177292000597,[np.float64(0.16527196652719664)],[np.float64(-0.4246861924686193)],[1],[0],[0],[1.9392521669997222],['Target'],exp-1-u,"001",2025-09-30_17h13.57.359,Visual Search Experiment_Urvashi Bhansali_13 September,,2025.2.0,118.39199939012315,2025-09-30 17h13.57.415959 +0530,
