reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,l,45.19413587500094,None,0,0,0,2,0.10882779100029438,,0.10002887500013458,0.10882779100029438,0.9948865410005965,0.9948865410005965,1.100810416000968,46.19607200000064,l,45.19413587500094,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
11,30,7,1,1,0,l,4.061572374999741,None,0,1,1,0,46.218795666000005,,46.200375250000434,46.218795666000005,47.184154458000194,47.184154458000194,47.212004291000994,51.25250954100011,l,4.061572374999741,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
78,80,162,2,2,0,l,3.744923166999797,None,0,2,2,6,51.272415499999624,,51.25574062499982,51.272415499999624,52.24593204099983,52.24593204099983,52.26758533300017,55.99581424999997,l,3.744923166999797,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
67,75,119,3,3,0,t,4.846199375000651,None,0,3,3,5,56.003321166001115,,55.999287250000634,56.003321166001115,56.984995374999926,56.984995374999926,57.00200916600079,61.83659337500103,t,4.846199375000651,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
15,35,13,4,4,0,l,4.678523874001257,None,0,4,4,1,61.84483345800072,,61.83864300000096,61.84483345800072,62.828019000000495,62.828019000000495,62.83590750000076,67.51214895799967,l,4.678523874001257,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
49,60,89,5,5,0,l,4.69592262399965,None,0,5,5,4,67.51870362500085,,67.51474495799994,67.51870362500085,68.50209908299985,68.50209908299985,68.51204562500061,73.20340250000118,l,4.69592262399965,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
40,55,62,6,6,0,t,5.161682291000034,None,0,6,6,3,73.211352833001,,73.20512945799965,73.211352833001,74.20090345800054,74.20090345800054,74.20090345800054,79.36858200000097,t,5.161682291000034,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
67,75,119,7,0,1,t,5.4343534170002386,None,1,0,7,5,79.37824720800018,,79.37030258300001,79.37824720800018,80.3618019580008,80.3618019580008,80.36799266600065,85.8024195830003,t,5.4343534170002386,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
49,60,89,8,1,1,l,4.627256374000353,None,1,1,8,4,85.81290400000034,,85.8056785000008,85.81290400000034,86.79542166600004,86.79542166600004,86.80230679099986,91.42869616600001,l,4.627256374000353,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
78,80,162,9,2,1,l,4.971242000001439,None,1,2,9,6,91.43507925000085,,91.43060725000032,91.43507925000085,92.41934683299951,92.41934683299951,92.42832908300079,97.39542483300102,l,4.971242000001439,None,m_1,"001",2025-10-24_21h27.10.725,Delay Discounting Task,,2025.2.0,None,2025-10-24 21h27.10.786180 +0530,
