study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_routine.started,textText.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,textText.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Keys,0,0,0,1.0104166666666667,5.474670374998823,,,,,,,,,,,,0,0,0,15,,,,,0.05840079199697357,,0.04510487500374438,0.05840079199697357,0.05840079199697357,5.5263329169974895,1.0104166666666667,5.474670374998823,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Poster,1,1,0,1.0104166666666667,1.8775341669970658,,,,,,,,,,,,0,1,1,16,,,,,5.537413833997562,,5.5308142089998,5.537413833997562,5.537413833997562,7.417871709003521,1.0104166666666667,1.8775341669970658,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
camera,2,2,0,1.0104166666666667,1.2879505840028287,,,,,,,,,,,,0,2,2,5,,,,,7.426840917003574,,7.421632042001875,7.426840917003574,7.426840917003574,8.71765933399729,1.0104166666666667,1.2879505840028287,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
cushion,3,3,0,2.994791666666667,4.087566916998185,,,,,,,,,,,,0,3,3,3,,,,,8.727061249999679,,8.721926500002155,8.727061249999679,8.727061249999679,12.817724542001088,2.994791666666667,4.087566916998185,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
board,4,4,0,1.0260416666666667,2.003835915995296,,,,,,,,,,,,0,4,4,7,,,,,12.82665512499807,,12.821257709001657,12.82665512499807,12.82665512499807,14.835293834003096,1.0260416666666667,2.003835915995296,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Police,5,5,0,1.0260416666666667,2.053643666993594,,,,,,,,,,,,0,5,5,17,,,,,14.843921166997461,,14.838024625001708,14.843921166997461,14.843921166997461,16.901047542000015,1.0260416666666667,2.053643666993594,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
mouse,6,6,0,1.0260416666666667,0.7228932079960941,,,,,,,,,,,,0,6,6,11,,,,,16.908079000000726,,16.9029160420032,16.908079000000726,16.908079000000726,17.634505709000223,1.0260416666666667,0.7228932079960941,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Laptop,7,7,0,1.0260416666666667,0.7388001669969526,,,,,,,,,,,,0,7,7,8,,,,,17.64274291699985,,17.637541292002425,17.64274291699985,17.64274291699985,18.38441108400002,1.0260416666666667,0.7388001669969526,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Case,8,8,0,1.0260416666666667,0.6710728340040077,,,,,,,,,,,,0,8,8,13,,,,,18.39202595900133,,18.38682037500257,18.39202595900133,18.39202595900133,19.067681334003282,1.0260416666666667,0.6710728340040077,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
T-shirt,9,9,0,1.0260416666666667,0.6872193750023143,,,,,,,,,,,,0,9,9,10,,,,,19.07555175000016,,19.070630499998515,19.07555175000016,19.07555175000016,19.767535917002533,1.0260416666666667,0.6872193750023143,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
tiger,10,10,0,1.0260416666666667,0.6387711249990389,,,,,,,,,,,,0,10,10,1,,,,,19.774892250003177,,19.76999375000014,19.774892250003177,19.774892250003177,20.41764691699791,1.0260416666666667,0.6387711249990389,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Cruise,11,11,0,1.0260416666666667,0.6559497080015717,,,,,,,,,,,,0,11,11,14,,,,,20.42558441699657,,20.419649083996774,20.42558441699657,20.42558441699657,21.084237875002145,1.0260416666666667,0.6559497080015717,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Pastry,12,12,0,1.0260416666666667,0.7568391669992707,,,,,,,,,,,,0,12,12,12,,,,,21.09184141700098,,21.08606987499661,21.09184141700098,21.09184141700098,21.851455042000453,1.0260416666666667,0.7568391669992707,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
piano,13,13,0,1.0260416666666667,0.8883280420050141,,,,,,,,,,,,0,13,13,4,,,,,21.859033834,,21.853203291997488,21.859033834,21.859033834,22.751035875000525,1.0260416666666667,0.8883280420050141,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
marble,14,14,0,1.0260416666666667,0.8222482499986654,,,,,,,,,,,,0,14,14,6,,,,,22.758047208997596,,22.752859583997633,22.758047208997596,22.758047208997596,23.58446016700327,1.0260416666666667,0.8222482499986654,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
vase,15,15,0,1.0260416666666667,0.7219592499968712,,,,,,,,,,,,0,15,15,0,,,,,23.592021958997066,,23.58695550000266,23.592021958997066,23.592021958997066,24.317960583997774,1.0260416666666667,0.7219592499968712,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
Chart,16,16,0,1.0260416666666667,0.9728700830019079,,,,,,,,,,,,0,16,16,9,,,,,24.3252115840005,,24.31976429199858,24.3252115840005,24.3252115840005,25.300863083997683,1.0260416666666667,0.9728700830019079,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
book,17,17,0,1.0260416666666667,1.388407250000455,,,,,,,,,,,,0,17,17,2,,,,,25.308373959000164,,25.303268791998562,25.308373959000164,25.308373959000164,26.701014584003133,1.0260416666666667,1.388407250000455,,,,,,,,,,,,,,,,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
,0,0,0,,,p_st_r,poster,old,"poster
",[np.float64(-0.018229166666666668)],[np.float64(-0.2955729166666667)],[1],[0],[0],[6.997079916000075],['text_3'],,,,,0,0,0,16,26.719765166999423,,,,,,,,26.71243933399819,26.719765166999423,26.719765166999423,26.719765166999423,0.01142416600487195,33.70968920899759,"poster
",[np.float64(-0.018229166666666668)],[np.float64(-0.2955729166666667)],[1],[0],[0],[6.997079916000075],['text_3'],,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
,1,1,0,,,P_st_y,pastry,old ,pastry,[np.float64(-0.00390625)],[np.float64(-0.31640625)],[1],[0],[0],[4.229582958003448],['text_3'],,,,,0,1,1,11,33.72344287500164,,,,,,,,33.71253254199837,33.72344287500164,33.72344287500164,33.72344287500164,0.002669542001967784,37.9423308339974,pastry,[np.float64(-0.00390625)],[np.float64(-0.31640625)],[1],[0],[0],[4.229582958003448],['text_3'],,,,,n_2,"001",2025-10-14_16h33.37.020,Word Priming Task,,2025.2.0,119.30344682730146,2025-10-14 16h33.37.135869 +0530,
