pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,protrianglefixation.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation_2.started,line1_2.started,line2_2.started,line3_2.started,line4_2.started,Fixation_2.stopped,protrianglefixation_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,6.4955963330003215,None,,,,,0,0,0,0,,,,,0.027328666999892448,,0.020162625000011758,0.027328666999892448,1.0136577499997657,1.0136577499997657,1.0136577499997657,1.0136577499997657,1.0244993749993228,2.000802916999419,2.000802916999419,8.69246637499964,x,1,6.4955963330003215,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
150,v,1,1,0,v,1,5.8569619170002625,None,,,,,0,1,1,1,,,,,8.70220212499953,,8.692660041999261,8.70220212499953,9.68224574999931,9.68224574999931,9.68224574999931,9.68224574999931,9.697579041999234,10.690945458999522,10.690945458999522,16.54934904199945,v,1,5.8569619170002625,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
50,c,2,2,0,c,1,0.6910587499996836,None,,,,,0,2,2,2,,,,,16.561084041999493,,16.54992754199975,16.561084041999493,17.548764541999844,17.548764541999844,17.548764541999844,17.548764541999844,17.557882416999746,18.558728624999276,18.558728624999276,19.259047167000062,c,1,0.6910587499996836,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
-150,z,3,3,0,z,1,0.8175144159995398,None,,,,,0,3,3,3,,,,,19.270999041999858,,19.25962670899935,19.270999041999858,20.249648833999345,20.249648833999345,20.249648833999345,20.249648833999345,20.265635333999853,21.25713695899958,21.25713695899958,22.083258374999787,z,1,0.8175144159995398,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
-50,x,4,0,1,x,1,0.8113800410001204,None,,,,,1,0,4,0,,,,,22.09461525000006,,22.083806874999937,22.09461525000006,23.082221499999832,23.082221499999832,23.082221499999832,23.082221499999832,23.09050204199957,24.082328374999634,24.082328374999634,24.899402209000073,x,1,0.8113800410001204,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
150,v,5,1,1,v,1,0.5911482080000496,None,,,,,1,1,5,1,,,,,24.911021249999976,,24.899971249999908,24.911021249999976,25.898502874999394,25.898502874999394,25.898502874999394,25.898502874999394,25.907228833999397,26.890432999999575,26.890432999999575,27.492390624999643,v,1,0.5911482080000496,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
50,c,6,2,1,c,1,0.45785979100037366,None,,,,,1,2,6,2,,,,,27.504384500000015,,27.493010541999865,27.504384500000015,28.482123916999626,28.482123916999626,28.482123916999626,28.482123916999626,28.497695541999747,29.490580874999978,29.490580874999978,29.959441666999737,c,1,0.45785979100037366,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
-150,z,7,3,1,z,1,0.6843775409997761,None,,,,,1,3,7,3,,,,,29.97283187499943,,29.960404083999492,29.97283187499943,30.957079999999223,30.957079999999223,30.957079999999223,30.957079999999223,30.9649676250001,31.957047625000087,31.957047625000087,32.64921612499984,z,1,0.6843775409997761,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
-50,x,8,0,2,x,1,0.7127362080000239,None,,,,,2,0,8,0,,,,,32.66065620900008,,32.64979037499961,32.66065620900008,33.64037449999978,33.64037449999978,33.64037449999978,33.64037449999978,33.65720445899933,34.64872358399953,34.64872358399953,35.36644629199964,x,1,0.7127362080000239,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
150,v,9,1,2,v,1,0.5168055829999503,None,,,,,2,1,9,1,,,,,35.37803620899922,,35.36718787499922,35.37803620899922,36.36492420899958,36.36492420899958,36.36492420899958,36.36492420899958,36.37386824999976,37.365555708999636,37.365555708999636,37.89239062499928,v,1,0.5168055829999503,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
50,c,10,2,2,c,1,0.5747666659999595,None,,,,,2,2,10,2,,,,,37.904321916999834,,37.89305883399993,37.904321916999834,38.89031208399956,38.89031208399956,38.89031208399956,38.89031208399956,38.897358374999385,39.890490083999794,39.890490083999794,40.475335000000086,c,1,0.5747666659999595,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
-150,z,11,3,2,z,1,1.3215839170006802,None,,,,,2,3,11,3,,,,,40.48686449999968,,40.475866709,40.48686449999968,41.473784958999204,41.473784958999204,41.473784958999204,41.473784958999204,41.48168533399985,42.473670916999254,42.473670916999254,43.798756874999526,z,1,1.3215839170006802,None,,,,,,,,,,,,,,,p-3/200,"001",2025-10-01_15h34.42.852,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h34.42.878847 +0530,
