prime,target,condition,correctAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fix_text.started,blank1_bg.started,fix_text.stopped,prime_text.started,blank1_bg.stopped,prime_text.stopped,blank2_bg.started,blank2_bg.stopped,target_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_correct.started,greenCircle.started,redCrosss.started,blank3_bg.started,greenCircle.stopped,redCrosss.stopped,blank3_bg.stopped,feedback_correct.stopped,thanks.started,text_3.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.012584875003085472,0.0214674169983482,0.0214674169983482,12.99693212499551,space,12.972436500000185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The dog is barking loudly,The dog barking is loudly,transposition_related,right,0,0,0,left,0,17.55772045800404,None,0,0,0,14,13.060152125006425,,,,,,,,,13.040008333002334,13.060152125006425,13.260785417005536,13.305287833005423,13.448868666993803,13.45394520800619,13.646459124996909,13.646459124996909,13.746843250002712,13.746843250002712,13.746843250002712,31.30737016699277,left,0,17.55772045800404,None,31.307886750000762,31.393614000000525,31.393614000000525,31.504884666996077,31.58886070799781,31.58886070799781,32.299816333004856,32.287869666994084,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The dog is barking loudly,The loudly is barking dog,repetition_unrelated,left,1,1,0,left,1,4.439853456991841,None,0,1,1,13,32.299816333004856,,,,,,,,,32.29503733299498,32.304076375003206,32.55544579199341,32.54454345800332,32.75552158300707,32.74390887499612,32.943552208002075,32.95540183299454,33.04383408300055,33.055357707999065,33.055357707999065,37.507392041996354,left,1,4.439853456991841,None,37.507823082996765,37.53377174999332,37.53377174999332,37.70391358299821,37.727918042000965,37.727918042000965,38.50340820799465,38.48786175000714,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
She does not like apples,She not does like apples,transposition_related,right,2,2,0,left,0,2.638800500004436,None,0,2,2,6,38.50340820799465,,,,,,,,,38.49838670800091,38.50825345799967,38.755443417001516,38.755443417001516,38.95522895800241,38.95522895800241,39.143131667005946,39.155451832994004,39.24306274999981,39.255739792002714,39.255739792002714,41.896026582995546,left,0,2.638800500004436,None,41.896357707999414,41.9082422079955,41.9082422079955,42.08720075000019,42.105463875006535,42.105463875006535,42.88819416699698,42.872711582997,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The boy can read fast,The read can boy fast,transposition_unrelated,left,3,3,0,left,1,5.317726749999565,None,0,3,3,3,42.88819416699698,,,,,,,,,42.883170291999704,42.892896667006426,43.14738137500535,43.139058667002246,43.33740366699931,43.342832124995766,43.52663762499287,43.54543733299943,43.63875529200595,43.64491779200034,43.64491779200034,48.974011333004455,left,1,5.317726749999565,None,48.97441733299638,48.98670054199465,48.98670054199465,49.17054312500113,49.17724375000398,49.17724375000398,49.971095500004594,49.95421895799518,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
They have finished the work,They finished have the work,repetition_unrelated,left,4,4,0,left,1,1.8827813749958295,None,0,4,4,9,49.971095500004594,,,,,,,,,49.9665097919933,49.97499204199994,50.22220487499726,50.22220487499726,50.42221525000059,50.40975537500344,50.61106391699286,50.622288083002786,50.709591167003964,50.72237791700172,50.72237791700172,52.606785041993135,left,1,1.8827813749958295,None,52.60717787500471,52.61862058300176,52.61862058300176,52.80409483300173,52.81070683299913,52.81070683299913,53.6030002500047,53.588992332995986,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The boy can read fast,The read can boy fast,repetition_unrelated,left,5,5,0,left,1,1.3701991249981802,None,0,5,5,1,53.6030002500047,,,,,,,,,53.59823545800464,53.60757870800444,53.855251125001814,53.855251125001814,54.055347500005155,54.041925041994546,54.24341091699898,54.2553551250021,54.34349770800327,54.35497662500711,54.35497662500711,55.729408083003364,left,1,1.3701991249981802,None,55.72977245799848,55.741275958003826,55.741275958003826,55.93057954199321,55.93726108300325,55.93726108300325,56.72951920800551,56.71388083300553,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
She does not like apples,She does not like apples,repetition_related,right,6,6,0,right,1,2.924619665995124,None,0,6,6,4,56.72951920800551,,,,,,,,,56.72399670799496,56.72951920800551,56.98018762499851,56.98018762499851,57.17188479199831,57.17188479199831,57.36038345799898,57.37825566700485,57.47203600000648,57.47868924999784,57.47868924999784,60.4076860829955,right,1,2.924619665995124,None,60.40828037500614,60.42018375000043,60.42018375000043,60.605408542003715,60.612903333007125,60.612903333007125,61.40413237499888,61.388363000005484,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
The boy can read fast,The boy can read fast,repetition_related,right,7,7,0,right,1,2.332208833002369,None,0,7,7,0,61.40413237499888,,,,,,,,,61.39942716699443,61.408539249998285,61.65537841699552,61.65537841699552,61.855352750004386,61.84344391699415,62.04376825000509,62.05546187500295,62.14377483300632,62.155578582998714,62.155578582998714,64.48995866700716,right,1,2.332208833002369,None,64.49024841700157,64.50135183299426,64.50135183299426,64.68875729199499,64.69718299999658,64.69718299999658,65.49592258299526,65.4794176669966,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
They have finished the work,They have finished the work,repetition_related,right,8,8,0,right,1,4.31837470800383,None,0,8,8,8,65.49592258299526,,,,,,,,,65.49036658300611,65.49592258299526,65.7386606670043,65.74686041699897,65.93892450000567,65.92519116699987,66.1261620419973,66.13872608299425,66.22728887500125,66.23883320800087,66.23883320800087,70.56207183300285,right,1,4.31837470800383,None,70.56237466700259,70.57425604200398,70.57425604200398,70.76427558300202,70.77066183299758,70.77066183299758,71.5710198750021,71.55458125000587,,,p,"001",2025-11-10_21h38.44.100,2nd exp,,2025.2.0,None,2025-11-10 21h38.44.185001 +0530,
