reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,t,4.308175832993584,None,0,0,0,4,0.07290887500857934,,0.06379845800984185,0.07290887500857934,0.9961315830005333,0.9961315830005333,1.0705936670128722,5.515800292007043,t,4.308175832993584,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
40,55,62,1,1,0,t,3.6366622079949593,None,0,1,1,3,5.539856000003056,,5.519409167012782,5.539856000003056,6.514080292006838,6.514080292006838,6.535748624999542,10.156962749999366,t,3.6366622079949593,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
15,35,13,2,2,0,l,4.399398791996646,None,0,2,2,1,10.188723250001203,,10.163633042000583,10.188723250001203,11.152169125009095,11.152169125009095,11.18541020801058,15.555637833007495,l,4.399398791996646,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
67,75,119,3,3,0,t,3.0325971660058713,None,0,3,3,5,15.569602792005753,,15.560803416999988,15.569602792005753,16.556329500002903,16.556329500002903,16.561787416998413,19.591502250012127,t,3.0325971660058713,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
78,80,162,4,4,0,t,3.1191162079921924,None,0,4,4,6,19.602729625010397,,19.59571695800696,19.602729625010397,20.589870916999644,20.589870916999644,20.59712204200332,23.71590812499926,t,3.1191162079921924,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
11,30,7,5,5,0,t,2.168456207989948,None,0,5,5,0,23.72768008300045,,23.720274708000943,23.72768008300045,24.71337837500323,24.71337837500323,24.72307712500333,26.89291012501053,t,2.168456207989948,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
27,50,21,6,6,0,t,6.329813333009952,None,0,6,6,2,26.905858708007145,,26.897125875009806,26.905858708007145,27.889164250009344,27.889164250009344,27.89642350000213,34.221079833005206,t,6.329813333009952,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
49,60,89,7,0,1,l,6.417287791991839,None,1,0,7,4,34.23592295800336,,34.224443750004866,34.23592295800336,35.22272379200149,35.22272379200149,35.229451833001804,41.64609454201127,l,6.417287791991839,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
78,80,162,8,1,1,t,2.7820208329940215,None,1,1,8,6,41.66427587500948,,41.65070320801169,41.66427587500948,42.63940195800387,42.63940195800387,42.66262495800038,45.429509417008376,t,2.7820208329940215,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
40,55,62,9,2,1,t,2.624919666995993,None,1,2,9,3,45.44069149999996,,45.43367370800115,45.44069149999996,46.42951204199926,46.42951204199926,46.44101770799898,49.06481537500804,t,2.624919666995993,None,p_4,"001",2025-11-03_00h33.34.690,Delay Discounting Task,,2025.2.0,None,2025-11-03 00h33.34.711117 +0530,
