pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,protrianglefixation.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation_2.started,line1_2.started,line2_2.started,line3_2.started,line4_2.started,Fixation_2.stopped,protrianglefixation_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,3.1122682499990333,None,,,,,0,0,0,0,,,,,0.05638504200032912,,0.04954008399727172,0.05638504200032912,1.008675166998728,1.008675166998728,1.008675166998728,1.008675166998728,1.0530362499994226,1.9946632499995758,1.9946632499995758,5.358600624997052,x,1,3.1122682499990333,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
150,v,1,1,0,v,1,2.907052623999334,None,,,,,0,1,1,1,,,,,5.363996459000191,,5.358797124998091,5.363996459000191,6.35198466699876,6.35198466699876,6.35198466699876,6.35198466699876,6.359472208998341,7.352385541998956,7.352385541998956,10.260817958998814,v,1,2.907052623999334,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
50,c,2,2,0,c,1,1.1694671660006861,None,,,,,0,2,2,2,,,,,10.273342041997239,,10.261341416997311,10.273342041997239,11.260119583999767,11.260119583999767,11.260119583999767,11.260119583999767,11.269652208997286,12.261453416998847,12.261453416998847,13.436987208999199,c,1,1.1694671660006861,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
-150,z,3,3,0,z,1,0.8492089579995081,None,,,,,0,3,3,3,,,,,13.448630458999105,,13.437521124997147,13.448630458999105,14.426819374999468,14.426819374999468,14.426819374999468,14.426819374999468,14.442711416999373,15.435687458997563,15.435687458997563,16.28717741699802,z,1,0.8492089579995081,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
-50,x,4,0,1,x,1,0.6635453749986482,None,,,,,1,0,4,0,,,,,16.299055666997447,,16.2877464589983,16.299055666997447,17.286582291999366,17.286582291999366,17.286582291999366,17.286582291999366,17.293470624998008,18.285176083998522,18.285176083998522,18.953918458999397,x,1,0.6635453749986482,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
150,v,5,1,1,v,1,0.9020687910015113,None,,,,,1,1,5,1,,,,,18.965388208998775,,18.954516499998135,18.965388208998775,19.951955749998888,19.951955749998888,19.951955749998888,19.951955749998888,19.95937633399808,20.95274633399822,20.95274633399822,21.86071791699942,v,1,0.9020687910015113,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
50,c,6,2,1,c,1,0.8648968749985215,None,,,,,1,2,6,2,,,,,21.872241583998402,,21.86122612499821,21.872241583998402,22.852654166999855,22.852654166999855,22.852654166999855,22.852654166999855,22.86932433399852,23.859780083999794,23.859780083999794,24.7272172089979,c,1,0.8648968749985215,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
-150,z,7,3,1,z,1,0.95779174999916,None,,,,,1,3,7,3,,,,,24.73878749999858,,24.727719874998,24.73878749999858,25.725717374996748,25.725717374996748,25.725717374996748,25.725717374996748,25.735996833998797,26.726794874997722,26.726794874997722,27.686900791999506,z,1,0.95779174999916,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
-50,x,8,0,2,x,1,0.6785829159998684,None,,,,,2,0,8,0,,,,,27.698110708999593,,27.687392166997597,27.698110708999593,28.685879749999003,28.685879749999003,28.685879749999003,28.685879749999003,28.69309387499743,29.685953416999837,29.685953416999837,30.370656084000075,x,1,0.6785829159998684,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
150,v,9,1,2,v,1,1.210296749999543,None,,,,,2,1,9,1,,,,,30.386871416998474,,30.37109520899685,30.386871416998474,31.369968041999527,31.369968041999527,31.369968041999527,31.369968041999527,31.37576991699825,32.36909620899678,32.36909620899678,33.58703091699863,v,1,1.210296749999543,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
50,c,10,2,2,c,1,0.7179804160005006,None,,,,,2,2,10,2,,,,,33.597726666997914,,33.587453459000244,33.597726666997914,34.58585408399813,34.58585408399813,34.58585408399813,34.58585408399813,34.592018249997636,35.585290999999415,35.585290999999415,36.31103829199856,c,1,0.7179804160005006,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
-150,z,11,3,2,z,1,0.8395504580003035,None,,,,,2,3,11,3,,,,,36.32225108399871,,36.31149079199895,36.32225108399871,37.32094470899756,37.32094470899756,37.32094470899756,37.32094470899756,37.33716829199693,38.309755083999335,38.309755083999335,39.15461570899788,z,1,0.8395504580003035,None,,,,,,,,,,,,,,,s-4/200,"001",2025-10-01_20h41.26.213,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 20h41.26.237942 +0530,
