prime,target,condition,correctAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fix_text.started,blank1_bg.started,fix_text.stopped,prime_text.started,blank1_bg.stopped,prime_text.stopped,blank2_bg.started,blank2_bg.stopped,target_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback_correct.started,greenCircle.started,redCrosss.started,blank3_bg.started,greenCircle.stopped,redCrosss.stopped,blank3_bg.stopped,feedback_correct.stopped,thanks.started,text_3.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008250541999586858,0.021157750001293607,0.021157750001293607,25.31220125000982,space,25.28791629099578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
The boy can read fast,The boy can read fast,transposition_related,right,0,0,0,right,1,1.4827532079943921,None,0,0,0,2,25.3763750000071,,,,,,,,,25.356033917007153,25.3763750000071,25.610743291996187,25.62117720900278,25.76454245900095,25.805853459009086,25.96289666699886,25.96289666699886,26.062808959002723,26.062808959002723,26.062808959002723,27.557422416997724,right,1,1.4827532079943921,None,27.557702375008375,27.646206334000453,27.646206334000453,27.755625167003018,27.84605449999799,27.84605449999799,28.554864375008037,28.539618334005354,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
They have finished the work,They finished have the work,transposition_related,right,1,1,0,left,0,1.7274384990014369,None,0,1,1,10,28.554864375008037,,,,,,,,,28.549919042008696,28.559479167000973,28.806323416996747,28.806323416996747,29.006082125008106,28.993183541999315,29.19314575000317,29.206103375006933,29.2932539589965,29.306190709001385,29.306190709001385,31.040970417001517,left,0,1.7274384990014369,None,31.041242584004067,31.05296970900963,31.05296970900963,31.23971929200343,31.24616741700447,31.24616741700447,32.03596233400458,32.02305304200854,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
She does not like apples,She does not like apples,repetition_related,right,2,2,0,right,1,1.0140559989959002,None,0,2,2,4,32.03596233400458,,,,,,,,,32.03077079200011,32.040712917005294,32.28967425000155,32.28967425000155,32.4896785000019,32.476051375007955,32.67674658400938,32.68973541700689,32.77673012499872,32.789596041999175,32.789596041999175,33.80799100000877,right,1,1.0140559989959002,None,33.80828795900743,33.81948070900398,33.81948070900398,34.006319709005766,34.012816750007914,34.012816750007914,34.80205670899886,34.78922233400226,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
They have finished the work,They have finished the work,repetition_related,right,3,3,0,right,1,3.827691541009699,None,0,3,3,8,34.80205670899886,,,,,,,,,34.79684483399615,34.80717079200258,35.05630612499954,35.04341662500519,35.256279249995714,35.24323337500391,35.443492709004204,35.45632112500607,35.5434687500092,35.556279249998624,35.556279249998624,39.390785666997544,right,1,3.827691541009699,None,39.391005209006835,39.41536100000667,39.41536100000667,39.58947629200702,39.61093325000547,39.61093325000547,40.386057459007134,40.3729909590038,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
The dog is barking loudly,The dog barking is loudly,transposition_related,right,4,4,0,left,0,2.402722790997359,None,0,4,4,14,40.386057459007134,,,,,,,,,40.38118712500727,40.390398667004774,40.63938679199782,40.62648616700608,40.83943616700708,40.82652895900537,41.02654262499709,41.039447333998396,41.126544375001686,41.13953583400871,41.13953583400871,43.54590008400555,left,0,2.402722790997359,None,43.54613950000203,43.557932249997975,43.557932249997975,43.747678125000675,43.75569700000051,43.75569700000051,44.55222016699554,44.54006054199999,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
The dog is barking loudly,The loudly is barking dog,repetition_unrelated,left,5,5,0,left,1,1.5231998329982162,None,0,5,5,13,44.55222016699554,,,,,,,,,44.54650533400127,44.55222016699554,44.796515584006556,44.796515584006556,44.989633334000246,44.989633334000246,45.17713054199703,45.194168084010016,45.289489750008215,45.29467020899756,45.29467020899756,46.824021292006364,left,1,1.5231998329982162,None,46.824247374999686,46.835229999996955,46.835229999996955,47.022988584009,47.02938570900005,47.02938570900005,47.81542079200153,47.80632025000523,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
The dog is barking loudly,The dog is barking loudly,repetition_related,right,6,6,0,right,1,1.5770865410013357,None,0,6,6,12,47.81542079200153,,,,,,,,,47.8106635419972,47.82120562500495,48.0727487920085,48.05993087500974,48.272754542005714,48.259690375009086,48.45981450000545,48.47278345900122,48.55979179200949,48.57269958400866,48.57269958400866,50.15737629200157,right,1,1.5770865410013357,None,50.157597124998574,50.16871516700485,50.16871516700485,50.35621066699969,50.362610334006604,50.362610334006604,51.151420499998494,51.13932516700879,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
The boy can read fast,The read can boy fast,repetition_unrelated,left,7,7,0,left,1,1.5785990820004372,None,0,7,7,1,51.151420499998494,,,,,,,,,51.146475875008036,51.1569908750098,51.406212500005495,51.39330183400307,51.606201667003916,51.59302933400613,51.79318229200726,51.80619512499834,51.893187749999925,51.906117624996114,51.906117624996114,53.49061000000802,left,1,1.5785990820004372,None,53.49084216699703,53.5012229999993,53.5012229999993,53.6894570000004,53.695832500001416,53.695832500001416,54.48513854200428,54.47290120899561,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
She does not like apples,She not does like apples,repetition_unrelated,left,8,8,0,right,0,2.0630380410002545,None,0,8,8,5,54.48513854200428,,,,,,,,,54.48029370899894,54.490306042003795,54.73943329200847,54.72655379200296,54.93941600000835,54.9266241669975,55.12657233400387,55.13946587500686,55.22648958400532,55.23957679200976,55.23957679200976,57.307277291998616,right,0,2.0630380410002545,None,57.30750333399919,57.31779445899883,57.31779445899883,57.506272166996496,57.51275183400139,57.51275183400139,58.29921008400561,58.28979500000423,,,s,"001",2025-11-10_20h45.30.570,2nd exp,,2025.2.0,None,2025-11-10 20h45.30.652027 +0530,
