pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,protrianglefixation.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trial_2.started,Fixation_2.started,line1_2.started,line2_2.started,line3_2.started,line4_2.started,Fixation_2.stopped,protrianglefixation_2.started,key_resp_2.started,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.226543750000019,None,,,,,0,0,0,0,,,,,0.06699908299924573,,0.04850495799928467,0.06699908299924573,1.0234922079998796,1.0234922079998796,1.0234922079998796,1.0234922079998796,1.0612587079995137,1.9952762499997334,1.9952762499997334,3.6723613329995715,x,1,1.226543750000019,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,1,1,0,v,1,1.049515832999532,None,,,,,0,1,1,1,,,,,3.6942349169994486,,3.6725476669998898,3.6942349169994486,4.670677207999688,4.670677207999688,4.670677207999688,4.670677207999688,4.713071541999852,5.670291957999325,5.670291957999325,6.73131899999953,v,1,1.049515832999532,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
50,c,2,2,0,c,1,0.6096614580001187,None,,,,,0,2,2,2,,,,,6.744081999999253,,6.731924791999518,6.744081999999253,7.7286646669999755,7.7286646669999755,7.7286646669999755,7.7286646669999755,7.736070541999652,8.746367624999948,8.746367624999948,9.363173416999416,c,1,0.6096614580001187,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,3,3,0,x,0,0.7497388749998208,None,,,,,0,3,3,3,,,,,9.373487457999545,,9.36371145799967,9.373487457999545,10.361442582999189,10.361442582999189,10.361442582999189,10.361442582999189,10.369038957999692,11.361249791999398,11.361249791999398,12.113144624999222,x,0,0.7497388749998208,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,4,0,1,x,1,0.7977709160004451,None,,,,,1,0,4,0,,,,,12.12516287499966,,12.113872666999669,12.12516287499966,13.11295254199922,13.11295254199922,13.11295254199922,13.11295254199922,13.12016366699936,14.111119166999742,14.111119166999742,14.91369958299947,x,1,0.7977709160004451,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,5,1,1,v,1,0.8979003329995976,None,,,,,1,1,5,1,,,,,14.939234332999149,,14.914278499999455,14.939234332999149,15.911239416999706,15.911239416999706,15.911239416999706,15.911239416999706,15.93551183299951,16.912884499999564,16.912884499999564,17.813860624999506,v,1,0.8979003329995976,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
50,c,6,2,1,c,1,0.23360779100039508,None,,,,,1,2,6,2,,,,,17.826098832999378,,17.81444858299983,17.826098832999378,18.81219549999969,18.81219549999969,18.81219549999969,18.81219549999969,18.8190464169993,19.811212749999868,19.811212749999868,20.04886195799918,c,1,0.23360779100039508,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-150,z,7,3,1,z,1,0.5552227490006771,None,,,,,1,3,7,3,,,,,20.06248512499951,,20.049247749999267,20.06248512499951,21.053345707999142,21.053345707999142,21.053345707999142,21.053345707999142,21.053345707999142,22.044522249999318,22.044522249999318,22.606262916999185,z,1,0.5552227490006771,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
-50,x,8,0,2,x,1,0.31824658299956354,None,,,,,2,0,8,0,,,,,22.61823637499947,,22.606871374999173,22.61823637499947,23.602826666999135,23.602826666999135,23.602826666999135,23.602826666999135,23.61122774999967,24.602359791999334,24.602359791999334,24.92993233299967,x,1,0.31824658299956354,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
150,v,9,1,2,v,1,0.031681374999607215,None,,,,,2,1,9,1,,,,,24.942382166999778,,24.930724207999447,24.942382166999778,25.94608604199948,25.94608604199948,25.94608604199948,25.94608604199948,25.94608604199948,26.927935291999347,26.927935291999347,26.96261429199967,v,1,0.031681374999607215,None,,,,,,,,,,,,,,,u-2_50,"001",2025-10-01_15h06.40.147,Motor sequence Learning task_Recent_Experiment_Tutorial 4_Urvashi Bhansali_AU2320139,,2025.2.0,None,2025-10-01 15h06.40.172993 +0530,
