study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_routine.started,textText.started,textbox.started,text_3.started,mouse.started,test_routine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
cushion,0,0,0,1.0052083333333333,2.6469442499947036,,,,,,,,,,,,0,0,0,3,,,,,0.10633654200501041,,0.05623658400145359,0.10633654200501041,0.10633654200501041,2.713261125005374,1.0052083333333333,2.6469442499947036,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
Police,1,1,0,1.0052083333333333,1.1860897920050775,,,,,,,,,,,,0,1,1,17,,,,,2.722051584001747,,2.7170335840055486,2.722051584001747,2.722051584001747,3.913418959004048,1.0052083333333333,1.1860897920050775,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
Cruise,2,2,0,1.0052083333333333,0.9369882909959415,,,,,,,,,,,,0,2,2,14,,,,,3.921123667001666,,3.91627537500608,3.921123667001666,3.921123667001666,4.863215125005809,1.0052083333333333,0.9369882909959415,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
T-shirt,3,3,0,1.0052083333333333,0.8874905410048086,,,,,,,,,,,,0,3,3,10,,,,,4.871680333999393,,4.866623792004248,4.871680333999393,4.871680333999393,5.763235334001365,1.0052083333333333,0.8874905410048086,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
Pastry,4,4,0,1.0052083333333333,1.222641084001225,,,,,,,,,,,,0,4,4,12,,,,,5.771095875003084,,5.766028209000069,5.771095875003084,5.771095875003084,6.99667204200523,1.0052083333333333,1.222641084001225,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
board,5,5,0,1.0052083333333333,0.7705088330039871,,,,,,,,,,,,0,5,5,7,,,,,7.005294167000102,,7.000002708999091,7.005294167000102,7.005294167000102,7.779930875003629,1.0052083333333333,0.7705088330039871,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
book,6,6,0,1.0052083333333333,0.7062288749948493,,,,,,,,,,,,0,6,6,2,,,,,7.78761654200207,,7.782406375001301,7.78761654200207,7.78761654200207,8.496714375003648,1.0052083333333333,0.7062288749948493,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
Case,7,7,0,1.0052083333333333,0.722807083002408,,,,,,,,,,,,0,7,7,13,,,,,8.504166917002294,,8.498385875005624,8.504166917002294,8.504166917002294,9.22991679199913,1.0052083333333333,0.722807083002408,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
Chart,8,8,0,1.0052083333333333,0.6562026249957853,,,,,,,,,,,,0,8,8,9,,,,,9.23764179200225,,9.231846417002089,9.23764179200225,9.23764179200225,9.896768000005977,1.0052083333333333,0.6562026249957853,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
tiger,9,9,0,1.0052083333333333,0.5713196670039906,,,,,,,,,,,,0,9,9,1,,,,,9.904834084001777,,9.89967500000057,9.904834084001777,9.904834084001777,10.480225541999971,1.0052083333333333,0.5713196670039906,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
marble,10,10,0,1.0052083333333333,0.6051188749988796,,,,,,,,,,,,0,10,10,6,,,,,10.488024083999335,,10.482736917001603,10.488024083999335,10.488024083999335,11.096593750000466,1.0052083333333333,0.6051188749988796,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
Laptop,11,11,0,1.0052083333333333,1.3873994999958086,,,,,,,,,,,,0,11,11,8,,,,,11.1042675839999,,11.099556875000417,11.1042675839999,11.1042675839999,12.49660933400446,1.0052083333333333,1.3873994999958086,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
piano,12,12,0,1.0052083333333333,1.0393776669952786,,,,,,,,,,,,0,12,12,4,,,,,12.503856041999825,,12.498512459002086,12.503856041999825,12.503856041999825,13.5466969170011,1.0052083333333333,1.0393776669952786,,,,,,,,,,,,,,,u_1,"001",2025-10-15_14h21.42.372,Word Priming Task,,2025.2.0,None,2025-10-15 14h21.42.496121 +0530,
